,x,y,time,theta
1342.0,185.0,169.0,53.94594383239746,-0.17139952736077463
1343.0,185.0,169.0,53.96194767951965,-0.17139952736077463
1344.0,493.5,-16.5,54.0099618434906,-0.31257283437526256
1345.0,493.5,-16.5,54.02696990966797,-0.31257283437526256
1346.0,493.0,-18.0,54.07398748397827,-0.313715784975014
1347.0,199.5,171.5,54.13804364204407,-0.16950250920692414
1348.0,199.5,171.5,54.15504741668701,-0.16950250920692414
1349.0,185.5,147.5,54.20206618309021,-0.1877230967268639
1350.0,185.5,147.5,54.218037843704224,-0.1877230967268639
1351.0,185.5,147.5,54.23304629325867,-0.1877230967268639
1352.0,491.5,-18.5,54.28225803375244,-0.3140967665542845
1353.0,491.5,-18.5,54.29826092720032,-0.3140967665542845
1354.0,486.0,-17.0,54.346275329589844,-0.3129538188578573
1355.0,486.0,-17.0,54.36227822303772,-0.3129538188578573
1356.0,213.5,150.0,54.410215616226196,-0.1858241959743869
1357.0,213.5,150.0,54.4272198677063,-0.1858241959743869
1358.0,191.0,135.0,54.474722146987915,-0.19722057250028685
1359.0,488.5,-14.0,54.538735151290894,-0.31066789882799395
1360.0,488.5,-14.0,54.55573916435242,-0.31066789882799395
1361.0,213.0,146.5,54.60275387763977,-0.18848271396256167
1362.0,213.0,146.5,54.61875653266907,-0.18848271396256167
1363.0,213.0,146.5,54.63275980949402,-0.18848271396256167
1364.0,214.5,135.0,54.68225693702698,-0.19722057250028685
1365.0,214.5,135.0,54.69726037979126,-0.19722057250028685
1366.0,233.0,132.5,54.81027150154114,-0.19912063827832627
1367.0,233.0,132.5,54.82727646827698,-0.19912063827832627
1368.0,234.5,129.0,54.87428522109985,-0.20178103582164952
1369.0,250.5,128.0,55.00205326080322,-0.20254121371575234
1370.0,250.5,128.0,55.01805639266968,-0.20254121371575234
1371.0,250.5,128.0,55.032795906066895,-0.20254121371575234
1372.0,257.0,147.0,55.08224821090698,-0.18810290130507956
1373.0,257.0,147.0,55.09825158119202,-0.18810290130507956
1374.0,253.0,126.0,55.146265506744385,-0.20406165383373231
1375.0,253.0,126.0,55.16326689720154,-0.20406165383373231
1376.0,256.0,126.0,55.21021294593811,-0.20406165383373231
1377.0,256.0,126.0,55.22904372215271,-0.20406165383373231
1378.0,268.0,144.0,55.33807635307312,-0.19038189748900058
1379.0,268.0,144.0,55.35307955741882,-0.19038189748900058
1380.0,263.0,131.0,55.402215003967285,-0.2002607654535315
1381.0,263.0,131.0,55.4182186126709,-0.2002607654535315
1382.0,263.0,131.0,55.434221506118774,-0.2002607654535315
1383.0,282.0,137.0,55.54609990119934,-0.19570065340057557
1384.0,282.0,137.0,55.563103437423706,-0.19570065340057557
1385.0,267.0,123.0,55.610249280929565,-0.2063425215627428
1386.0,267.0,123.0,55.625248193740845,-0.2063425215627428
1387.0,272.0,133.0,55.674169301986694,-0.19874061043203978
1388.0,277.0,129.0,55.73822498321533,-0.20178103582164952
1389.0,277.0,129.0,55.753228425979614,-0.20178103582164952
1390.0,488.5,-14.5,55.802215337753296,-0.3110488875965291
1391.0,488.5,-14.5,55.81821870803833,-0.3110488875965291
1392.0,488.5,-14.5,55.83422136306763,-0.3110488875965291
1393.0,292.9285583496094,136.5,55.88223147392273,-0.19608062193974807
1394.0,292.9285583496094,136.5,55.89823508262634,-0.19608062193974807
1395.0,296.6518859863281,132.48733520507812,55.94623875617981,-0.1991302643225932
1396.0,296.6518859863281,132.48733520507812,55.961241483688354,-0.1991302643225932
1397.0,297.5,135.5,56.01025056838989,-0.19684058151681438
1398.0,297.5,135.5,56.029212474823,-0.19684058151681438
1399.0,313.5,139.5,56.07421875,-0.1938009242864539
1400.0,315.54840087890625,138.16128540039062,56.13805365562439,-0.1948181786892697
1401.0,315.54840087890625,138.16128540039062,56.15505766868591,-0.1948181786892697
1402.0,320.5,136.5,56.20196533203125,-0.19608062193974807
1403.0,320.5,136.5,56.218968868255615,-0.19608062193974807
1404.0,320.5,136.5,56.23397254943848,-0.19608062193974807
1405.0,322.7244873046875,138.37754821777344,56.28198838233948,-0.19465384249664186
1406.0,322.7244873046875,138.37754821777344,56.29899191856384,-0.19465384249664186
1407.0,329.0,136.5,56.3462176322937,-0.19608062193974807
1408.0,329.0,136.5,56.363221406936646,-0.19608062193974807
1409.0,328.84942626953125,132.49806213378906,56.4100821018219,-0.19912211117877243
